ロシア,アゼルバイジャン,ウクライナ,エストニア,カザフスタン,グルジア,中華人民共和国,朝鮮民主主義人民共和国,ノルウェー,フィンランド,ベラルーシ,ポーランド,モンゴル,ラトビア,リトアニア
中華人民共和国,アフガニスタン,インド,カザフスタン,キルギス,タジキスタン,朝鮮民主主義人民共和国,ベトナム,ミャンマー,モンゴル,ラオス,ロシア,,,
ブラジル,アルゼンチン,ウルグアイ,ガイアナ,コロンビア,スリナム,パラグアイ,フランス,ベネズエラ,ペルー,ボリビア,,,,
スーダン,ウガンダ,エジプト,エチオピア,エリトリア,ケニア,コンゴ民主共和国,チャド,中央アフリカ,リビア,,,,,
ドイツ,オーストリア,オランダ,スイス,チェコ,デンマーク,フランス,ベルギー,ポーランド,ルクセンブルク,,,,,
コンゴ民主共和国,アンゴラ,ウガンダ,コンゴ共和国,ザンビア,スーダン,タンザニア,中央アフリカ,ブルンジ,ルワンダ,,,,,
ザンビア,アンゴラ,コンゴ民主共和国,ジンバブエ,タンザニア,ナミビア,ボツワナ,マラウイ,モザンビーク,,,,,,
タンザニア,ウガンダ,ケニア,コンゴ民主共和国,ザンビア,ブルンジ,マラウイ,モザンビーク,ルワンダ,,,,,,
オーストリア,イタリア,スイス,スロバキア,スロベニア,チェコ,ドイツ,ハンガリー,リヒテンシュタイン,,,,,,
セルビア,クロアチア,コソボ,ハンガリー,ブルガリア,ボスニア＝ヘルツェゴビナ,マケドニア,モンテネグロ,ルーマニア,,,,,,
フランス,アンドラ,イタリア,スイス,スペイン,ドイツ,ベルギー,モナコ,ルクセンブルク,,,,,,
イラン,アゼルバイジャン,アフガニスタン,アルメニア,イラク,トルクメニスタン,トルコ,パキスタン,,,,,,,
サウジアラビア,アラブ首長国連邦,イエメン,イラク,オマーン,カタール,クウェート,ヨルダン,,,,,,,
トルコ,アルメニア,イラク,イラン,ギリシャ,グルジア,シリア,ブルガリア,,,,,,,
ニジェール,アルジェリア,チャド,ナイジェリア,ブルキナファソ,ベナン,マリ,リビア,,,,,,,
マリ,アルジェリア,ギニア,コートジボワール,セネガル,ニジェール,ブルキナファソ,モーリタニア,,,,,,,
ウクライナ,スロバキア,ハンガリー,ベラルーシ,ポーランド,モルドバ,ルーマニア,ロシア,,,,,,,
ハンガリー,ウクライナ,オーストリア,クロアチア,スロバキア,スロベニア,セルビア,ルーマニア,,,,,,,
ポーランド,ウクライナ,スロバキア,チェコ,ドイツ,ベラルーシ,リトアニア,ロシア,,,,,,,
アフガニスタン,イラン,ウズベキスタン,タジキスタン,中華人民共和国,トルクメニスタン,パキスタン,,,,,,,,
イラク,イラン,クウェート,サウジアラビア,シリア,トルコ,ヨルダン,,,,,,,,
アルジェリア,チュニジア,ニジェール,マリ,モーリタニア,モロッコ,リビア,,,,,,,,
カメルーン,ガボン,コンゴ共和国,赤道ギニア,チャド,中央アフリカ,ナイジェリア,,,,,,,,
ギニア,ギニアビサウ,コートジボワール,シエラレオネ,セネガル,マリ,リベリア,,,,,,,,
チャド,カメルーン,スーダン,中央アフリカ,ナイジェリア,ニジェール,リビア,,,,,,,,
ブルキナファソ,ガーナ,コートジボワール,トーゴ,ニジェール,ベナン,マリ,,,,,,,,
南アフリカ,ジンバブエ,スワジランド,ナミビア,ボツワナ,モザンビーク,レソト,,,,,,,,
モザンビーク,ザンビア,ジンバブエ,スワジランド,タンザニア,マラウイ,南アフリカ,,,,,,,,
リビア,アルジェリア,エジプト,スーダン,チャド,チュニジア,ニジェール,,,,,,,,
イタリア,オーストリア,サンマリノ,スイス,スロベニア,バチカン,フランス,,,,,,,,
インド,中華人民共和国,バングラデシュ,ブータン,ネパール,ミャンマー,,,,,,,,,
ウズベキスタン,アフガニスタン,カザフスタン,キルギス,タジキスタン,トルクメニスタン,,,,,,,,,
カザフスタン,ウズベキスタン,キルギス,中華人民共和国,トルクメニスタン,ロシア,,,,,,,,,
シリア,イスラエル,イラク,トルコ,ヨルダン,レバノン,,,,,,,,,
ミャンマー,インド,タイ,中華人民共和国,バングラデシュ,ラオス,,,,,,,,,
ラオス,カンボジア,タイ,中華人民共和国,ベトナム,ミャンマー,,,,,,,,,
ウガンダ,ケニア,コンゴ民主共和国,スーダン,タンザニア,ルワンダ,,,,,,,,,
エチオピア,エリトリア,ケニア,ジブチ,スーダン,ソマリア,,,,,,,,,
ケニア,ウガンダ,エチオピア,スーダン,ソマリア,タンザニア,,,,,,,,,
コートジボワール,ガーナ,ギニア,ブルキナファソ,マリ,リベリア,,,,,,,,,
コンゴ共和国,アンゴラ,ガボン,カメルーン,コンゴ民主共和国,中央アフリカ,,,,,,,,,
セネガル,ガンビア,ギニア,ギニアビサウ,マリ,モーリタニア,,,,,,,,,
中央アフリカ,カメルーン,コンゴ共和国,コンゴ民主共和国,スーダン,チャド,,,,,,,,,
スイス,イタリア,オーストリア,ドイツ,フランス,リヒテンシュタイン,,,,,,,,,
スペイン,アンドラ,イギリス,フランス,ポルトガル,モロッコ,,,,,,,,,
スロバキア,ウクライナ,オーストリア,チェコ,ハンガリー,ポーランド,,,,,,,,,
ブルガリア,ギリシャ,セルビア,トルコ,マケドニア,ルーマニア,,,,,,,,,
ベラルーシ,ウクライナ,ポーランド,ラトビア,リトアニア,ロシア,,,,,,,,,
マケドニア,アルバニア,ギリシャ,コソボ,セルビア,ブルガリア,,,,,,,,,
ルーマニア,ウクライナ,セルビア,ハンガリー,ブルガリア,モルドバ,,,,,,,,,
アルゼンチン,ウルグアイ,チリ,パラグアイ,ボリビア,ブラジル,,,,,,,,,
コロンビア,エクアドル,パナマ,ブラジル,ベネズエラ,ペルー,,,,,,,,,
ペルー,エクアドル,コロンビア,チリ,ブラジル,ボリビア,,,,,,,,,
ボリビア,アルゼンチン,チリ,パラグアイ,ブラジル,ペルー,,,,,,,,,
アゼルバイジャン,イラン,グルジア,アルメニア,ロシア,,,,,,,,,,
アルメニア,イラン,アゼルバイジャン,グルジア,トルコ,,,,,,,,,,
イスラエル,エジプト,シリア,ヨルダン,レバノン,,,,,,,,,,
キルギス,ウズベキスタン,カザフスタン,タジキスタン,中華人民共和国,,,,,,,,,,
グルジア,アルメニア,アゼルバイジャン,トルコ,ロシア,,,,,,,,,,
タイ,カンボジア,マレーシア,ミャンマー,ラオス,,,,,,,,,,
タジキスタン,アフガニスタン,ウズベキスタン,キルギス,中華人民共和国,,,,,,,,,,
トルクメニスタン,アフガニスタン,イラン,ウズベキスタン,カザフスタン,,,,,,,,,,
ヨルダン,イスラエル,イラク,サウジアラビア,シリア,,,,,,,,,,
アンゴラ,コンゴ共和国,コンゴ民主共和国,ザンビア,ナミビア,,,,,,,,,,
ジンバブエ,ザンビア,ボツワナ,南アフリカ,モザンビーク,,,,,,,,,,
ナイジェリア,カメルーン,チャド,ニジェール,ベナン,,,,,,,,,,
ナミビア,アンゴラ,ザンビア,ボツワナ,南アフリカ,,,,,,,,,,
ベナン,トーゴ,ナイジェリア,ニジェール,ブルキナファソ,,,,,,,,,,
