Iceland,ISL,"['64.1265206', '-21.8174392']",[]
Ireland,IRL,"['53.3498053', '-6.2603097']",['United Kingdom']
Azerbaijan,AZE,"['40.4092617', '49.8670924']","['Iran', 'Georgia', 'Armenia', 'Russian Federation']"
Afghanistan,AFG,"['34.5553494', '69.207486']","['Iran', 'Uzbekistan', 'Tajikistan', 'China', 'Turkmenistan', 'Pakistan']"
United States,USA,"['38.9071923', '-77.0368707']","['Canada', 'Mexico']"
United Arab Emirates,ARE,"['24.453884', '54.3773438']","['Oman', 'Qatar', 'Saudi Arabia']"
Algeria,DZA,"['36.753768', '3.0587561']","['Tunisia', 'Niger', 'Mali', 'Mauritania', 'Morocco', 'Libya']"
Argentina,ARG,"['-34.6036844', '-58.3815591']","['Uruguay', 'Chile', 'Paraguay', 'Bolivia', 'Brazil']"
Albania,ALB,"['41.3275459', '19.8186982']","['Greece', 'Kosovo', 'Macedonia', 'Montenegro']"
Armenia,ARM,"['40.1791857', '44.4991029']","['Iran', 'Azerbaijan', 'Georgia', 'Turkey']"
Angola,AGO,"['-8.8399876', '13.2894368']","['Congo', 'Congo', 'Zambia', 'Namibia']"
Antigua and Barbuda,ATG,"['17.1274104', '-61.846772']",[]
Andorra,AND,"['42.5063174', '1.5218355']","['Spain', 'France']"
Yemen,YEM,"['15.3694451', '44.1910066']","['Oman', 'Saudi Arabia']"
United Kingdom,GBR,"['51.5073509', '-0.1277583']","['Ireland', 'Cyprus', 'Spain']"
Israel,ISR,"['31.768319', '35.21371']","['Egypt', 'Syrian Arab Republic', 'Jordan', 'Lebanon']"
Italy,ITA,"['41.9027835', '12.4963655']","['Austria', 'San Marino', 'Switzerland', 'Slovenia', 'Holy See (Vatican City State)', 'France']"
Iraq,IRQ,"['33.3128057', '44.3614875']","['Iran', 'Kuwait', 'Saudi Arabia', 'Syrian Arab Republic', 'Turkey', 'Jordan']"
Iran,IRN,"['35.6891975', '51.3889736']","['Azerbaijan', 'Afghanistan', 'Armenia', 'Iraq', 'Turkmenistan', 'Turkey', 'Pakistan']"
India,IND,"['28.6139391', '77.2090212']","['China', 'Bangladesh', 'Bhutan', 'Nepal', 'Myanmar']"
Indonesia,IDN,"['-6.2087634', '106.845599']","['Timor-Leste', 'Papua New Guinea', 'Malaysia']"
Uganda,UGA,"['0.3475964', '32.5825197']","['Kenya', 'Congo', 'Sudan', 'Tanzania', 'Rwanda']"
Ukraine,UKR,"['50.4501', '30.5234']","['Slovakia', 'Hungary', 'Belarus', 'Poland', 'Moldova', 'Romania', 'Russian Federation']"
Uzbekistan,UZB,"['41.2994958', '69.2400734']","['Afghanistan', 'Kazakhstan', 'Kyrgyzstan', 'Tajikistan', 'Turkmenistan']"
Uruguay,URY,"['-34.9011127', '-56.1645314']","['Argentina', 'Brazil']"
Ecuador,ECU,"['-0.1806532', '-78.4678382']","['Colombia', 'Peru']"
Egypt,EGY,"['30.0444196', '31.2357116']","['Israel', 'Sudan', 'Libya']"
Estonia,EST,"['59.4369608', '24.7535747']","['Latvia', 'Russian Federation']"
Ethiopia,ETH,"['8.9806034', '38.7577605']","['Eritrea', 'Kenya', 'Djibouti', 'Sudan', 'Somalia']"
Eritrea,ERI,"['15.3228767', '38.9250517']","['Ethiopia', 'Djibouti', 'Sudan']"
El Salvador,SLV,"['13.6929403', '-89.2181911']","['Guatemala', 'Honduras']"
Australia,AUS,"['-35.308129', '149.124402']",[]
Austria,AUT,"['48.2081743', '16.3738189']","['Italy', 'Switzerland', 'Slovakia', 'Slovenia', 'Czech Republic', 'Germany', 'Hungary', 'Liechtenstein']"
Oman,OMN,"['23.58589', '58.4059227']","['United Arab Emirates', 'Yemen', 'Saudi Arabia']"
Netherlands,NLD,"['52.3702157', '4.8951679']","['Germany', 'Belgium']"
Ghana,GHA,"['5.6037168', '-0.1869644']","[""Côte d'Ivoire"", 'Togo', 'Burkina Faso']"
Cape Verde,CPV,"['14.93305', '-23.5133267']",[]
Guyana,GUY,"['6.8012793', '-58.1551255']","['Suriname', 'Brazil', 'Venezuela']"
Kazakhstan,KAZ,"['51.1605227', '71.4703558']","['Uzbekistan', 'Kyrgyzstan', 'China', 'Turkmenistan', 'Russian Federation']"
Qatar,QAT,"['25.2854473', '51.5310398']","['United Arab Emirates', 'Saudi Arabia']"
Canada,CAN,"['45.4215296', '-75.6971931']",['United States']
Gabon,GAB,"['0.4161976', '9.4672676']","['Cameroon', 'Congo', 'Equatorial Guinea']"
Cameroon,CMR,"['3.8480325', '11.5020752']","['Gabon', 'Congo', 'Equatorial Guinea', 'Chad', 'Central African Republic', 'Nigeria']"
Gambia,GMB,"['13.4548761', '-16.5790323']",['Senegal']
Cambodia,KHM,"['11.5563738', '104.9282099']","['Thailand', 'Viet Nam', ""Lao People's Democratic Republic""]"
Guinea,GIN,"['9.6411855', '-13.5784012']","['Guinea-Bissau', ""Côte d'Ivoire"", 'Sierra Leone', 'Senegal', 'Mali', 'Liberia']"
Guinea-Bissau,GNB,"['11.8816553', '-15.6177942']","['Guinea', 'Senegal']"
Cyprus,CYP,"['35.1855659', '33.3822764']",['United Kingdom']
